,navn,type_bhg,privat_bhg,år,antall_barn,barn_per_voksen,bhg_areal,addresse,latitudes,longitudes
0,100-Meterskogen barnehage AS,Privat,True,1 - 5 år,34,"5,3","7,9 m2","Godheimveien 26, 3440 RØYKEN",59.74958230000001,10.3991506
1,As Barnas Hus Gullhella,Privat,True,1 - 5 år,48,"5,5","4,5 m2","Bukkemyrveien 3, 1386 ASKER",59.8109377,10.4478181
2,Askeladden steinerbarnehage,Privat,True,1 - 5 år,47,"4,7","7,1 m2","Åsheimveien 12B, 3490 KLOKKARSTUA",59.6339312,10.4959988
3,Bikuben barnehage,Privat,True,1 - 5 år,40,"4,8","4,7 m2","Rosenkrantz vei 39, 1397 NESØYA",59.8701072,10.5184366
4,Billingstad barnehage SA,Privat,True,1 - 5 år,82,"5,6","4,5 m2","Billingstadveien 60, 1396 BILLINGSTAD",59.87430269999999,10.471004
5,Bitehagen barnehage SA,Privat,True,1 - 5 år,49,"5,8","5,7 m2","Bitehagen 10B, 3440 RØYKEN",59.7419804,10.3664346
6,Bjerkås barnehage,Privat,True,1 - 5 år,67,"5,7","4,2 m2","Høymyrmarka 9, 1391 VOLLEN",59.7925109,10.4832943
7,Bleikerfaret barnehage,Kommunal,False,1 - 5 år,94,"5,4","5,8 m2","Bleikerfaret 14, 1387 ASKER",59.8307896,10.4537581
8,Bondi barnehage,Kommunal,False,1 - 2 år,12,6,"5,7 m2","Idunns vei 3, 1386 ASKER",59.8226427,10.4376251
9,Borgen barnehage,Kommunal,False,1 - 5 år,60,6,"5,6 m2","Vardefaret 38, 1388 BORGEN",59.82581880000001,10.4135344
10,Borgen Skog barnehage,Privat,True,1 - 5 år,48,"5,5","5,1 m2","Finkefaret 1, 1388 BORGEN",59.82307300000001,10.4181683
11,Brendsrud barnehage,Kommunal,False,1 - 5 år,48,"5,5","5,1 m2","Brendsrudtoppen 29B, 1385 ASKER",59.823952,10.3903289
12,Båstadmyra barnehage SA,Privat,True,1 - 5 år,68,"5,6","5,8 m2","Haldensvingen 61, 1387 ASKER",59.8346794,10.4544414
13,Carpe Diem barnehage,Privat,True,1 - 5 år,43,"6,5","3,9 m2","Brøholtveien 79, 3430 SPIKKESTAD",59.7273323,10.3262477
14,Doktorgården barnehage,Kommunal,False,1 - 5 år,41,"5,9","6,2 m2","Vestre Strandvei 22, 3482 TOFTE",59.5410165,10.5514741
15,Engelsrud barnehage,Privat,True,1 - 5 år,27,"5,7","4,6 m2","Nordvannslia 29, 1385 ASKER",59.8126857,10.3635613
16,Espira Blakstad barnehage,Privat,True,1 - 5 år,92,6,"4,5 m2","Strandveien 57, 1392 VETTRE",59.8198729,10.4683275
17,Espira Gullhella barnehage,Privat,True,1 - 5 år,96,6,"4,8 m2","Korpefaret 3, 1386 ASKER",59.8128853,10.4413501
18,Espira Årosfjellet barnehage,Privat,True,1 - 5 år,67,6,"5,5 m2","Kjøyafaret 54, 3474 ÅROS",59.71294210000001,10.5116798
19,Folkestad barnehage,Kommunal,False,1 - 5 år,17,"5,8","6,5 m2","Folkestadveien 4, 3483 KANA",59.5517415,10.4650788
20,Frydendal barnehage,Privat,True,1 - 5 år,59,"4,7","4,3 m2","Nedre Frydendal 88, 1384 ASKER",59.84171449999999,10.4211325
21,Furulia familiebarnehage,Privat,True,1 - 5 år,10,-1,-1 m2,"Furulia 3A, 3470 SLEMMESTAD",59.7760949,10.4933983
22,Furuly Bhg AS,Privat,True,1 - 5 år,30,"5,8",5 m2,"Øvre Askerhagen 8B, 1383 ASKER",59.83484359999999,10.4213802
23,Føyka barnehage Gamle Drammensvei,Kommunal,False,1 - 5 år,34,"4,6","4,8 m2","Semsveien 139, 1384 ASKER",59.85144450000001,10.4227645
24,Føyka barnehage Ånnerudveien,Offentlig,False,1 - 5 år,38,"5,6","4,3 m2","Ånnerudveien 11, 1383 ASKER",59.8285611,10.4028096
25,Gulspurven barnehage,Kommunal,False,1 - 5 år,35,6,"4,5 m2","Jordet 1, 3480 FILTVET",59.5614923,10.5814166
26,Hallenåsen familiebarnehage Marit Regine Kinserdal,Privat,True,1 - 5 år,5,-1,-1 m2,"Hallenåsen terrasse 41, 1389 HEGGEDAL",59.7763722,10.413403
27,Hanevold Barnegård AS,Privat,True,1 - 5 år,54,6,"3,9 m2","Hanevoldveien 9B, 1384 ASKER",59.8467466,10.4187253
28,Heggedalskogen barnehage Heggedalskogen,Kommunal,False,1 - 5 år,44,6,"5,8 m2","Heggedalskogen 8, 1389 HEGGEDAL",59.7831339,10.4464643
29,Heggum barnehage AS,Privat,True,1 - 5 år,41,5,5 m2,"Heggumhøgda 3, 3440 RØYKEN",59.7472755,10.4018523
30,Helledammen Fus barnehage AS,Privat,True,1 - 5 år,26,6,"8,4 m2","Helledamsveien 31, 3430 SPIKKESTAD",59.7424912,10.3416629
31,Holmen barnehage,Kommunal,False,1 - 5 år,73,"5,6","4,9 m2","Torstadveien 1, 1396 BILLINGSTAD",59.8657951,10.4845289
32,Holmentoppen barnehage,Privat,True,1 - 5 år,16,"5,8","4,7 m2","Nesbruveien 55A, 1396 BILLINGSTAD",59.8717975,10.4900906
33,Hval Gård barnehage Hvalsveien,Kommunal,False,1 - 5 år,98,"5,9","4,1 m2","Hvalsveien 35, 1394 NESBRU",59.8440158,10.4866296
34,Hvalstad barnehage,Kommunal,False,1 - 5 år,75,6,5 m2,"Hvalstadveien 21, 1395 HVALSTAD",59.8611788,10.466927
35,Hyggen barnehage,Kommunal,False,1 - 5 år,32,"5,9","5,8 m2","Bakkekroken 12, 3442 HYGGEN",59.7170992,10.3740153
36,Høymyrmarka Familiebarnehage,Privat,True,1 - 2 år,3,-1,-1 m2,"Høymyrmarka 58, 1391 VOLLEN",59.7885625,10.4810664
37,Kana barnehage,Privat,True,1 - 5 år,52,"5,6","5,2 m2","Aaslyveien 4, 3483 KANA",59.2912121,10.3502433
38,Kistefossdammen barnehage,Kommunal,False,1 - 5 år,95,"5,9","5,6 m2","Vikingjordet 5, 1389 HEGGEDAL",59.78348279999999,10.4332015
39,Kjekstadmarka Kanvas-barnehage,Privat,True,1 - 5 år,53,"5,9","4,9 m2","Heggveien 40, 3440 RØYKEN",59.7528099,10.3968757
40,Klokkarstua barnehage,Kommunal,False,1 - 5 år,35,"5,3","4,9 m2","Knivsfjellveien 4, 3490 KLOKKARSTUA",59.6096027,10.4510153
41,Landøya barnehage,Kommunal,False,1 - 5 år,70,"5,9","5,6 m2","Nesbukta 19, 1394 NESBRU",59.86091279999999,10.5024791
42,Leikestua barnehage,Privat,True,1 - 5 år,29,"5,3","4,7 m2","Eikeveien 62, 1384 ASKER",59.8394408,10.44584
43,Læringsverkstedet barnehage Velodromen idrettsbarnehage,Privat,True,1 - 5 år,37,6,"4,6 m2","Langenga 62, 1386 ASKER",59.8254631,10.4523762
44,Læringsverkstedet Bekkeveien barnehage,Privat,True,1 - 5 år,78,6,"5,6 m2","Bekkeveien 1, 1396 BILLINGSTAD",59.8762193,10.4852566
